id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7309344177,morgantown,19990,2017,buick,encore premium sport,good,,gas,22428,clean,other,KL4CJDSBXHB184082,fwd,,other,black,wv
7309300774,morgantown,29990,2019,lexus,nx 300 sport utility 4d,good,,gas,21108,clean,other,JTJYARBZ3K2143710,fwd,,hatchback,white,wv
7309236603,morgantown,33590,2018,lexus,gs 350 sedan 4d,good,6 cylinders,gas,30814,clean,automatic,JTHBZ1BLXJA012999,rwd,,sedan,white,wv
7309229739,morgantown,49990,2018,bmw,x5 xdrive50i sport utility,good,8 cylinders,gas,22118,clean,automatic,5UXKR6C53J0U14401,,,other,blue,wv
7309221446,morgantown,13400,2018,ford,transit passenger wagon,,6 cylinders,gas,7200,salvage,other,1FMZK1CG9JKB34426,rwd,,van,white,wv
7309166449,morgantown,26590,2014,lexus,is 350 sedan 4d,good,6 cylinders,gas,45318,clean,other,JTHBE1D22E5013305,rwd,,sedan,silver,wv
7309025736,morgantown,12500,1987,chevrolet,el camino,excellent,8 cylinders,gas,106000,clean,automatic,,rwd,full-size,pickup,grey,wv
7308825334,morgantown,52590,2015,chevrolet,corvette stingray,good,8 cylinders,gas,9740,clean,other,1G1YD3D77F5114033,rwd,,convertible,,wv
7308825163,morgantown,26590,2015,jeep,wrangler sahara sport,good,6 cylinders,gas,72175,clean,other,1C4GJWBG8FL529860,4wd,,SUV,silver,wv
7308779634,morgantown,36590,2019,gmc,sierra 1500 limited double,good,8 cylinders,gas,14222,clean,other,2GTV2LECXK1123316,4wd,,pickup,blue,wv
7308740616,morgantown,29990,2019,ford,ranger supercrew xl pickup,good,,gas,10301,clean,other,1FTER4EH3KLA78114,,,pickup,black,wv
7308722292,morgantown,6999,2014,buick,encore,,,other,14876,salvage,automatic,KL4CJCSB4EB786109,fwd,,SUV,,wv
7308699082,morgantown,40990,2020,ford,mustang gt coupe 2d,good,8 cylinders,gas,39,clean,other,1FA6P8CFXL5190309,rwd,,coupe,black,wv
7308288521,morgantown,23990,2017,toyota,tacoma access cab sr,good,,gas,53783,clean,other,5TFRX5GN9HX098630,,,pickup,white,wv
7308288522,morgantown,27590,2013,toyota,tacoma access cab pickup,good,,other,43937,clean,other,5TFUU4EN6DX061948,4wd,,pickup,white,wv
7308288333,morgantown,25990,2017,toyota,tacoma access cab sr,good,,gas,22820,clean,other,5TFRX5GN9HX090138,,,pickup,,wv
7308227152,morgantown,26590,2017,bmw,3 series 330i xdrive sedan,good,,other,14358,clean,other,WBA8D9C38HA011395,,,sedan,black,wv
7308224647,morgantown,7999,2017,dodge,journey,,,other,59724,salvage,automatic,3C4PDDGG9HT553399,4wd,,SUV,,wv
7308203923,morgantown,4500,2005,ford,expedition,excellent,8 cylinders,gas,186000,clean,automatic,1FMFU18505LA29102,4wd,full-size,SUV,green,wv
7308184754,morgantown,4250,2001,chevrolet,blazer,,,gas,168101,clean,automatic,,,,,,wv
7308176048,morgantown,5800,2002,mercedes-benz,benz c320,,,gas,104000,clean,automatic,,,,,,wv
7308175316,morgantown,5000,2006,cadillac,dts,good,8 cylinders,gas,105000,clean,automatic,,fwd,full-size,coupe,blue,wv
7308173075,morgantown,47990,2020,bmw,3 series m340i sedan 4d,good,,other,9064,clean,other,WBA5U7C02LAF54122,rwd,,sedan,black,wv
7307692611,morgantown,9999,2015,ford,escape,,4 cylinders,gas,85000,salvage,other,1FMCU9G93FUC01706,4wd,,SUV,grey,wv
7307493622,morgantown,34995,2018,ram,2500,,8 cylinders,gas,65071,clean,automatic,3C6UR5HJ0JG289077,4wd,,truck,white,wv
7307492296,morgantown,17995,2012,ford,mustang,,8 cylinders,gas,97316,clean,manual,1ZVBP8CF1C5252847,rwd,,coupe,black,wv
7307492147,morgantown,29725,2015,gmc,sierra 3500hd,,8 cylinders,gas,94042,clean,automatic,1GD521CG9FZ112990,4wd,,truck,white,wv
7307491850,morgantown,19995,2011,gmc,sierra 2500hd,,8 cylinders,gas,135198,clean,automatic,1GD21ZCG4BZ187630,rwd,,truck,white,wv
7307491605,morgantown,33900,2018,ford,super duty f-250,,8 cylinders,gas,111612,clean,automatic,1FT7W2B67JEC40712,4wd,,truck,white,wv
7307491397,morgantown,44894,2017,ford,super duty f-250,,8 cylinders,diesel,105139,clean,automatic,1FT7W2BT3HEE17403,4wd,,truck,white,wv
7307372333,morgantown,0,2015,ford,e450 bus,,,gas,50000,clean,automatic,,,,,,wv
7307194265,morgantown,44590,2020,ram,1500 crew cab laramie pickup,good,,other,12293,clean,other,1C6RREJT3LN421258,,,pickup,white,wv
7307194200,morgantown,35990,2018,ram,1500 crew cab big horn,good,6 cylinders,other,28498,clean,other,1C6RR7LG5JS222822,4wd,,pickup,,wv
7307194183,morgantown,51590,2020,lexus,rx 350 f sport suv 4d,good,,other,5084,clean,other,2T2YZMDA9LC237255,,,SUV,white,wv
7307193918,morgantown,40590,2019,ram,1500 crew cab big horn,good,8 cylinders,gas,16931,clean,other,1C6SRFMT2KN657854,4wd,,pickup,,wv
7307171387,morgantown,9900,2015,audi,a4,,,other,12533,salvage,automatic,WAUFFAFLXFN019888,4wd,,sedan,,wv
7307123380,morgantown,50990,2020,lexus,rx 350 f sport suv 4d,good,6 cylinders,gas,7106,clean,other,2T2YZMDA5LC227483,,,SUV,white,wv
7307021860,morgantown,5950,2007,jeep,liberty,,,gas,129000,clean,automatic,,,,,,wv
7306918903,morgantown,38999,2011,ford,f-550 crew cab flat bed xlt 4x4 drw,,8 cylinders,diesel,125314,clean,automatic,1FD0W5HT9BEC16926,4wd,,pickup,red,wv
7306849141,morgantown,16000,2010,ram,1500,good,8 cylinders,gas,97000,rebuilt,automatic,,4wd,full-size,truck,blue,wv
7306741738,morgantown,36590,2018,bmw,4 series 430i convertible 2d,good,,gas,29158,clean,other,WBA4Z1C58JEC60266,rwd,,convertible,white,wv
7306728006,morgantown,36590,2018,bmw,5 series 540i xdrive sedan,good,,gas,37712,clean,other,WBAJE7C50JWC57406,,,sedan,blue,wv
7306689107,morgantown,25590,2018,acura,tlx 3.5 w/technology pkg,good,,other,41166,clean,other,19UUB2F58JA012100,,,sedan,white,wv
7306652134,morgantown,5500,2014,chevrolet,spark,,,other,47845,salvage,automatic,KL8CF6S91EC577368,fwd,,sedan,,wv
7306630182,morgantown,28990,2017,rover,discovery sport hse,good,,other,40218,clean,other,SALCR2BG9HH664876,4wd,,other,black,wv
7306628341,morgantown,3000,2006,ford,expedition,fair,8 cylinders,gas,176400,clean,automatic,,4wd,full-size,SUV,silver,wv
7306593233,morgantown,33990,2019,lincoln,nautilus select sport,good,,other,23588,clean,other,2LMPJ6K93KBL35135,fwd,,other,white,wv
7306445468,morgantown,7500,2015,subaru,legacy,good,4 cylinders,gas,161000,clean,automatic,,4wd,,,blue,wv
7306218805,morgantown,29590,2017,jaguar,xf 20d premium sedan 4d,good,,gas,15530,clean,other,SAJBJ4BN4HCY33978,,,sedan,black,wv
7306218754,morgantown,36590,2020,cadillac,xt4 sport suv 4d,good,,gas,9350,clean,other,1GYFZFR45LF092923,,,hatchback,white,wv
7306218741,morgantown,27990,2018,infiniti,q50 3.0t luxe sedan 4d,good,,other,17288,clean,other,JN1EV7AR2JM437007,,,sedan,blue,wv
7306133230,morgantown,6500,2013,ford,mustang,,6 cylinders,gas,45262,clean,automatic,1ZVBP8AM3D5252450,rwd,,coupe,red,wv
7306120321,morgantown,24990,2017,jaguar,xf 20d premium sedan 4d,good,,diesel,21384,clean,automatic,SAJBD4BN3HCY32456,rwd,,sedan,,wv
7306082256,morgantown,26990,2018,alfa-romeo,romeo giulia ti sedan 4d,good,,gas,14017,clean,other,ZARFAECN0J7591697,rwd,,sedan,white,wv
7305819103,morgantown,0,2015,ford,e450 bus,,,gas,50000,clean,automatic,,,,,,wv
7305728425,morgantown,22990,2017,infiniti,qx50 sport utility 4d,good,,other,25361,clean,other,JN1BJ0RP2HM387907,,,hatchback,,wv
7305693607,morgantown,27990,2018,lexus,es 350 sedan 4d,good,6 cylinders,gas,34415,clean,other,58ABK1GG9JU114900,fwd,,sedan,white,wv
7305644894,morgantown,39990,2019,,Genesis G70 3.3T Advanced Sedan,good,,other,11717,clean,other,KMTG34LE9KU021141,rwd,,sedan,red,wv
